Block Number,Excess Blob Gas,Gas Used,Blob Fee
0,0,0,0,1
1,0,0,0,1
2,0,0,0,1
3,0,524288,4,1
4,0,786432,6,1
5,262144,655360,5,1
6,393216,786432,6,1
7,655360,786432,6,1
8,917504,786432,6,1
9,1179648,786432,6,1
10,1441792,786432,6,1
11,1703936,786432,6,1
12,1966080,786432,6,1
13,2228224,655360,5,1
14,2359296,786432,6,2
15,2621440,786432,6,2
16,2883584,786432,6,2
17,3145728,786432,6,2
18,3407872,786432,6,2
19,3670016,786432,6,3
20,3932160,786432,6,3
21,4194304,786432,6,3
22,4456448,786432,6,3
23,4718592,786432,6,4
24,4980736,786432,6,4
25,5242880,786432,6,4
26,5505024,655360,5,5
27,5636096,524288,4,5
28,5636096,786432,6,5
29,5898240,393216,3,5
30,5767168,655360,5,5
31,5898240,786432,6,5
32,6160384,524288,4,6
33,6160384,786432,6,6
34,6422528,655360,5,6
35,6553600,786432,6,7
36,6815744,786432,6,7
37,7077888,786432,6,8
38,7340032,786432,6,9
39,7602176,786432,6,9
40,7864320,393216,3,10
41,7733248,786432,6,10
42,7995392,524288,4,10
43,7995392,393216,3,10
44,7864320,655360,5,10
45,7995392,786432,6,10
46,8257536,655360,5,11
47,8388608,786432,6,12
48,8650752,262144,2,13
49,8388608,655360,5,12
50,8519680,786432,6,12
51,8781824,0,0,13
52,8257536,0,0,11
53,7733248,0,0,10
54,7208960,0,0,8
55,6684672,0,0,7
56,6160384,0,0,6
57,5636096,0,0,5
58,5111808,0,0,4
59,4587520,0,0,3
60,4063232,0,0,3
61,3538944,0,0,2
62,3014656,0,0,2
63,2490368,0,0,2
64,1966080,0,0,1
65,1441792,0,0,1
66,917504,0,0,1
67,393216,0,0,1
68,0,0,0,1
69,0,0,0,1
70,0,0,0,1
71,0,0,0,1
72,0,0,0,1
73,0,0,0,1
74,0,0,0,1
75,0,0,0,1
76,0,0,0,1
77,0,0,0,1
78,0,0,0,1
79,0,0,0,1
80,0,0,0,1
81,0,0,0,1
82,0,0,0,1
83,0,0,0,1
84,0,0,0,1
85,0,0,0,1
86,0,0,0,1
