Block,CodeDiff,StateDiff
0xfb1fda,1,1
0xfb1fdb,1,0
0xfb1fdc,0,14
0xfb1fdd,1,0
0xfb1fe0,0,20
0xfb1fe1,1,8
0xfb1fe2,1,8
0xfb1fe3,0,4
0xfb1fe4,1,0
0xfb1fe6,1,0
0xfb1fe7,0,4
0xfb1fe8,0,44
0xfb1fe9,1,32
0xfb1feb,0,20
0xfb1fec,1,1
0xfb1fed,0,20
0xfb1fee,0,20
0xfb1fef,0,20
0xfb1ff0,1,50
0xfb1ff1,1,0
0xfb1ff2,0,20
0xfb1ff3,1,1
0xfb1ff4,0,18
0xfb1ff5,0,5
0xfb1ff6,1,11
0xfb1ffb,1,5
0xfb1ffc,0,1
0xfb1ffd,0,20
0xfb1fff,0,20
0xfb2000,0,15
0xfb2001,0,20
0xfb2002,0,7
0xfb2004,0,3
0xfb2006,0,15
0xfb2007,0,7
0xfb200b,0,20
0xfb200c,0,21
0xfb200d,0,28
0xfb2010,0,20
0xfb2011,0,20
0xfb2012,0,23
0xfb2013,0,41
0xfb2015,-3,12
0xfb2018,0,25
0xfb2019,0,14
